date,ndci,pixel_count,scene_id
2023-05-15 05:14:15.503000+00:00,0.1309442191268352,150,S2B_44QND_20230515_0_L2A
2023-05-25 05:14:16.444000+00:00,0.12709893083767695,152,S2B_44QND_20230525_0_L2A
2023-09-17 05:14:15.042000+00:00,0.3216398720124474,100,S2A_44QND_20230917_0_L2A
2023-09-27 05:14:13.916000+00:00,0.25954662547020285,93,S2A_44QND_20230927_0_L2A
2023-10-07 05:14:12.122000+00:00,0.31416947455179955,134,S2A_44QND_20231007_0_L2A
2023-10-12 05:14:13.602000+00:00,0.29173655133778625,140,S2B_44QND_20231012_0_L2A
2023-10-17 05:14:10.822000+00:00,0.2095564620757579,121,S2A_44QND_20231017_0_L2A
2023-10-27 05:14:11.585000+00:00,0.22800326449303915,136,S2A_44QND_20231027_0_L2A
2023-11-11 05:14:13.059000+00:00,0.30562151046910696,138,S2B_44QND_20231111_0_L2A
2023-11-16 05:14:10.016000+00:00,0.2853201962798937,136,S2A_44QND_20231116_0_L2A
2023-12-01 05:14:08.680000+00:00,0.3469430153989648,144,S2B_44QND_20231201_0_L2A
2023-12-11 05:14:08.418000+00:00,0.3093046577100765,140,S2B_44QND_20231211_0_L2A
2023-12-21 05:14:12.427000+00:00,0.29726466245062494,145,S2B_44QND_20231221_0_L2A
2023-12-26 05:14:08.576000+00:00,0.203408231134218,131,S2A_44QND_20231226_0_L2A
2024-01-05 05:14:08.025000+00:00,0.3462600328996219,138,S2A_44QND_20240105_0_L2A
2024-01-10 05:14:09.900000+00:00,0.25423316526543077,132,S2B_44QND_20240110_0_L2A
2024-01-20 05:14:10.935000+00:00,0.18961832473313148,103,S2B_44QND_20240120_0_L2A
2024-02-19 05:14:12.569000+00:00,0.2757179210169965,141,S2B_44QND_20240219_0_L2A
2024-02-29 05:14:09.755000+00:00,0.24725434977730917,142,S2B_44QND_20240229_0_L2A
2024-03-05 05:14:12.156000+00:00,0.18963609279042268,138,S2A_44QND_20240305_0_L2A
2024-03-25 05:14:12.645000+00:00,0.23649239282735196,138,S2A_44QND_20240325_0_L2A
2024-03-30 05:14:11.272000+00:00,0.23743452144410984,137,S2B_44QND_20240330_0_L2A
2024-04-09 05:14:11.139000+00:00,0.19968253194952876,105,S2B_44QND_20240409_0_L2A
2024-04-14 05:14:13.731000+00:00,0.24845773317359088,133,S2A_44QND_20240414_0_L2A
2024-04-19 05:14:12.577000+00:00,0.16776298182128221,131,S2B_44QND_20240419_0_L2A
2024-04-24 05:14:14.208000+00:00,0.3019766624625775,139,S2A_44QND_20240424_0_L2A
2024-04-29 05:14:11.182000+00:00,0.25658312743824235,139,S2B_44QND_20240429_0_L2A
2024-05-14 05:14:14.629000+00:00,0.21985311972311325,135,S2A_44QND_20240514_0_L2A
2024-05-19 05:14:10.374000+00:00,0.31803363416133135,142,S2B_44QND_20240519_0_L2A
2024-06-18 05:14:14.171000+00:00,0.3020720281370645,130,S2B_44QND_20240618_0_L2A
2024-09-21 05:14:12.887000+00:00,0.2890524477334013,125,S2A_44QND_20240921_0_L2A
2024-10-01 05:14:13.631000+00:00,0.37586924613969064,137,S2A_44QND_20241001_0_L2A
